Longitude;Latitude;geohash;unique_prefix
-46.58;-23.63;6gycs433r2ch;6gycs43
-45.89;-23.19;6gzk5drumw86;6gzk5dr
-45.88;-23.2;6gzk5bx4nqrs;6gzk5bx
-49.4;-20.84;6ukc7yhn0w3h;6ukc7yh
-49.39;-20.84;6ukckn5q1w7h;6ukckn5
-45.89;-23.22;6gz7gszvtw2k;6gz7gsz
-46.64;-23.57;6gycftjyc1xg;6gycftj
-46.66;-23.63;6gycd4r1r0yk;6gycd4r
-46.66;-23.56;6gycfpp1p1y2;6gycfpp
-46.65;-23.56;6gycfrn901v8;6gycfrn
-46.67;-23.61;6gyc9vzvy0zh;6gyc9vz
-46.64;-23.6;6gycdxvb11pf;6gycdxv
-46.66;-23.56;6gycfpp1p1y2;6gycfpp
-46.58;-23.54;6gyfh49mx3c0;6gyfh49
-46.6;-23.48;6gyf7tdgj6fe;6gyf7td
-46.66;-23.56;6gycfpp1p1y2;6gycfpp
-46.69;-23.6;6gyc9xc2h1jd;6gyc9xc
-46.62;-23.52;6gyf5nk6561h;6gyf5nk
-46.65;-23.57;6gycfmnwb1te;6gycfmn
-46.68;-23.53;6gyf1u2xv1uy;6gyf1u2
-46.72;-23.55;6gyf0bge31fn;6gyf0bg
-46.71;-23.51;6gyf304u64k3;6gyf304
-46.58;-23.54;6gyfh49mx3c0;6gyfh49
-46.64;-23.57;6gycftjyc1xg;6gycftj
-46.65;-23.55;6gyf42ye21vw;6gyf42y
-46.89;-23.2;6gyshbxdpy6k;6gyshbx
-46.64;-23.57;6gycftjyc1xg;6gycftj
-46.47;-23.54;6gyfnd9td3z8;6gyfnd9
-46.61;-23.55;6gyf52gek3bw;6gyf52g
-46.66;-23.56;6gycfpp1p1y2;6gycfpp
-46.66;-23.54;6gyf44xjx1y2;6gyf44x
-46.68;-23.58;6gyccg2st1kv;6gyccg2
-46.7;-23.61;6gyc9mfjg0gs;6gyc9mf
-46.72;-23.51;6gyf2b5s3461;6gyf2b5
